ID,EYE,TIME,DV,Group,rounded_time
K700,OD,0.9812307339566395,4.877626534148749,4,1
K700,OD,1.8907153593355916,3.8701887650034066,4,2
K700,OD,2.8232953532214102,5.053727558763822,4,3
K700,OD,6.031593126640001,4.720208970358707,4,6
K700,OD,12.03041805721856,4.0933062290349165,4,12
K700,OD,19.57051849540163,5.297008225565936,4,20
K700,OD,22.38218257203271,6.382713487656019,4,22
K700,OD,25.568722454334697,4.26028988624104,4,26
K700,OD,28.05803059638754,5.40755940703968,4,28
K700,OD,30.073943392861693,8.024326295914015,4,30
K700,OS,0.9060453978039895,5.35115470912356,4,1
K700,OS,2.748014482969454,5.480489195675385,4,3
K700,OS,5.97873888619978,7.76791675334062,4,6
K700,OS,11.992491019794665,4.117025895974037,4,12
K700,OS,19.438227651389703,5.7110092385366755,4,19
K700,OS,22.402459684610093,7.463340896879367,4,22
K700,OS,25.608225804397115,5.12801068110856,4,26
K700,OS,28.117858826076983,7.655168060410579,4,28
A070,OD,3.007771698978422,2.6264312415940134,2,3
A070,OD,7.069308396810435,2.1230755792660463,2,7
A070,OD,9.062603495274246,2.0284951513641163,2,9
A070,OD,13.125382136397219,1.9062611916551675,2,13
A070,OD,15.990999095610528,1.5946875061034247,2,16
A070,OD,19.070731854890077,2.52309874204565,2,19
A070,OD,21.00687367844496,2.3554304635216257,2,21
A070,OS,2.914124398135174,3.0709649376715644,2,3
A070,OS,7.0906363844801685,2.8199374302020885,2,7
A070,OS,8.987465926171248,2.2383534626378543,2,9
A070,OS,13.030731727511276,1.9736078858763773,2,13
A070,OS,16.030502445672944,1.9194878242297297,2,16
A070,OS,18.994830012992637,2.53768224111578,2,19
A070,OS,20.987838509158536,2.341808466863705,2,21
A075,OD,3.0868261661529033,3.827377565667938,3,3
A075,OD,7.0361580643517705,3.8110789474167808,3,7
A075,OD,9.010083624181592,3.4763814971630738,3,9
A075,OD,13.054591368812575,3.5634334054805272,3,13
A075,OD,15.937046213028305,2.296979445915951,3,16
A075,OD,18.885968906835146,4.689058484216528,3,19
A075,OS,2.9682683489160056,2.1820076344013355,3,3
A075,OS,6.994218594757088,2.3563287384483464,3,7
A075,OS,9.0070743000535,2.4134391809588878,3,9
A075,OS,12.994285468626602,2.3755156934248185,3,13
A075,OS,15.93523106514152,1.84314422694717,3,16
A075,OS,19.014677222123147,2.8165897079613735,3,19
A055,OD,3.082144995286983,2.1694999342401426,1,3
A055,OD,7.007473951035589,1.1758483409165856,1,7
A055,OD,8.924628372353704,1.0977012703689484,1,9
A055,OD,13.096936858329302,0.6054306845847255,1,13
A055,OD,15.929021348686726,0.8679890645112357,1,16
A055,OD,19.028123646600257,1.4384737590364505,1,19
A055,OD,20.963357896211754,1.2029264935688286,1,21
A055,OS,2.9908860469263487,3.388870923880816,1,3
A055,OS,7.054333426744453,3.4536927431784314,1,7
A055,OS,8.971201245764654,3.1140255134781003,1,9
A055,OS,12.95740930629506,2.7140219415206657,1,13
A055,OS,16.070483466231885,2.448231291105685,1,16
A055,OS,19.0733112755713,3.449719124019371,1,19
